Fecha;Texto
2023-02-23T00:12:51.000Z;EMERGENCIA: 21:12 10-2 (LLAMADO DE PASTIZALES), LAS MANZANAS / AVENIDA ALTO HORNO, F-7 H-8
2023-02-23T01:32:30.000Z;EMERGENCIA: 22:32 10-4 (RESCATE VEHICULAR), AVENIDA COLON ALTURA DEL 2863, B-8 RB-3
2023-02-23T02:54:42.000Z;EMERGENCIA: 23:54 10-2 (LLAMADO DE PASTIZALES), JAIME REPULLO / CARRIEL NORTE, B-4
2023-02-23T03:00:37.000Z;0:00, SALE Z-6  A 10-2 (LLAMADO DE PASTIZALES) JAIME REPULLO / CARRIEL NORTE
2023-02-23T03:28:26.000Z;EMERGENCIA: 0:28 10-4 (RESCATE VEHICULAR), GOMEZ CARREÑO ALTURA DEL 4763, RB-5 B-8
2023-02-23T07:02:14.000Z;EMERGENCIA: 4:02 10-4 (RESCATE VEHICULAR), VASCO NUÑEZ DE BALBOA / CALLE UNIVERSIDAD ANDRES BELLO, BM-2 RB-5
2023-02-23T11:02:08.000Z;8:02, SALE B-5 F-6 F-7  A 10-12 (APOYO A OTRO CUERPO) C.B CORONEL  / KILOMETRO 16.5
2023-02-23T11:08:49.000Z;EMERGENCIA: 8:08 10-4 (RESCATE VEHICULAR), AVENIDA ROCOTO / AVENIDA GRAN BRETAÑA, RB-3 B-8
2023-02-23T12:00:04.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: BR-01, BM-2, Q-2, B-4, H-4, RH-4, RB-5, RB-6, Z-6, B-8, H-9, Z-9 EN EMERGENCIA: F-1, B-3, X-4, B-5, F-6, F-7, F-8
2023-02-23T15:47:02.000Z;EMERGENCIA: 12:46 10-6 (ESCAPE DE GAS), SIMON BOLIVAR / LUIS URIBE, H-4
2023-02-23T15:58:04.000Z;EMERGENCIA: 12:58 10-4 (RESCATE VEHICULAR), AVENIDA GRAN BRETAÑA / ROTONDA, BR-01 B-3
2023-02-23T18:28:31.000Z;EMERGENCIA: 15:28 10-3 (RESCATE DE PERSONA), AVENIDA DESIDERIO GARCIA / AVENIDA ALTO HORNO, B-4
2023-02-23T19:24:58.000Z;EMERGENCIA: 16:24 10-2 (LLAMADO DE PASTIZALES), AVENIDA DESIDERIO GARCIA / PORTEZUELO, H-8
2023-02-23T21:47:28.000Z;EMERGENCIA: 18:47 10-2 (LLAMADO DE PASTIZALES), LAS MANZANAS / AVENIDA ALTO HORNO, F-1 B-4
2023-02-23T22:32:55.000Z;19:32, SALE Z-6  A 10-2 (LLAMADO DE PASTIZALES) LAS MANZANAS / AVENIDA ALTO HORNO
2023-02-23T23:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: BR-01, BM-2, Q-2, B-3, RB-5, H-9, B-11, H-11 EN EMERGENCIA: F-1, B-4, X-4, B-5, F-6, Z-6, F-7, F-8
2023-02-23T23:44:49.000Z;EMERGENCIA: 20:44 10-2 (LLAMADO DE PASTIZALES), AVENIDA DESIDERIO GARCIA / IQUIQUE, H-8
