split,fold,model,train_start,train_end,test_start,test_end,n_train,n_test,mae,rmse,r2,mase,poisson_deviance,roc_auc,pr_auc,brier,log_loss,precision,recall,f1,alerts_per_week
cv,outer_01,historical_median,2022-02-03,2023-02-23,2023-02-24,2023-03-23,365,28,1.6428571428571428,1.927248223318863,-0.0055248618784529135,0.7060212514757969,1.025494937258173,0.5,0.25,0.18862638393694883,0.5655415323508466,0.0,0.0,0.0,0.0
cv,outer_01,moving_average_28d,2022-02-03,2023-02-23,2023-02-24,2023-03-23,365,28,2.211734693877551,2.6602262941073374,-0.9158198500394632,0.9504975543936581,1.642525984899977,0.7210884353741497,0.43033189033189034,0.2185222303206997,0.6286700049174093,0.4166666666666667,0.7142857142857143,0.5263157894736842,3.0
cv,outer_02,historical_median,2022-02-03,2023-03-23,2023-03-24,2023-04-20,393,28,1.1785714285714286,1.5236235005501102,-0.013927576601671099,0.5093715545755236,0.6797910828426869,0.5,0.17857142857142858,0.14830438711622787,0.4741940877345086,0.0,0.0,0.0,0.0
cv,outer_02,moving_average_28d,2022-02-03,2023-03-23,2023-03-24,2023-04-20,393,28,1.279336734693878,1.5817581418288897,-0.09277755670513277,0.5529217199558987,0.7286013124553843,0.3434782608695653,0.16876190476190475,0.1536989795918367,0.49598120707970766,0.0,0.0,0.0,0.0
cv,outer_03,historical_median,2022-02-03,2023-04-20,2023-04-21,2023-05-20,421,28,1.7142857142857142,2.5213375135318272,-0.0008032128514054993,0.7563025210084033,1.3788860016118993,0.5,0.21428571428571427,0.16837083003207093,0.5195901394955005,0.0,0.0,0.0,0.0
cv,outer_03,moving_average_28d,2022-02-03,2023-04-20,2023-04-21,2023-05-20,421,28,1.7499999999999998,2.5850863201833,-0.05205106138841065,0.7720588235294117,1.4667680334410904,0.2537878787878788,0.17372134038800707,0.1850856413994169,0.5747381675520264,0.0,0.0,0.0,0.0
cv,outer_04,historical_median,2022-02-03,2023-05-20,2023-05-21,2023-06-17,449,28,1.4642857142857142,1.880349511584026,-0.009100837277029372,0.6527363184079601,0.7979129429044578,0.5,0.21428571428571427,0.16837040916038543,0.5195888972358816,0.0,0.0,0.0,0.0
cv,outer_04,moving_average_28d,2022-02-03,2023-05-20,2023-05-21,2023-06-17,449,28,1.5165816326530608,1.8907260818579925,-0.02026886473555578,0.6760483297796728,0.8069631707749555,0.6325757575757576,0.27976190476190477,0.16622631195335277,0.5131401891319952,0.0,0.0,0.0,0.0
cv,outer_05,historical_median,2022-02-03,2023-06-17,2023-06-18,2023-07-15,477,28,1.5357142857142858,1.8027756377319946,-0.07103825136612008,0.6787372330547818,0.8963117309122737,0.5,0.10714285714285714,0.10749854178713798,0.38142428017219104,0.0,0.0,0.0,0.0
cv,outer_05,moving_average_28d,2022-02-03,2023-06-17,2023-06-18,2023-07-15,477,28,1.5688775510204083,1.842465549282142,-0.1187173482255448,0.6933943493832074,0.9367481218398981,0.3733333333333333,0.11904761904761905,0.10117529154518948,0.3625109577525293,0.0,0.0,0.0,0.0
cv,outer_06,historical_median,2022-02-03,2023-07-15,2023-07-16,2023-08-20,505,28,1.9642857142857142,2.2280677086403173,-0.03208697958101303,0.8784383318544808,1.3689793600555105,0.5,0.21428571428571427,0.16838657274496893,0.5196375101235955,0.0,0.0,0.0,0.0
cv,outer_06,moving_average_28d,2022-02-03,2023-07-15,2023-07-16,2023-08-20,505,28,2.0204081632653064,2.2846577596474273,-0.08518013410614844,0.9035365699074662,1.4359260752859997,0.18181818181818182,0.15506493506493507,0.18353680758017496,0.578001079890918,0.0,0.0,0.0,0.0
cv,outer_07,historical_median,2022-02-03,2023-08-20,2023-08-21,2023-09-19,533,28,1.5357142857142858,1.917960226013936,-0.08461827754795026,0.6848281642917016,1.0502007333006043,0.5,0.07142857142857142,0.0855649864252802,0.3304695877968409,0.0,0.0,0.0,0.0
