model,roc_auc,brier,precision,recall,f1,mean_fold_roc_auc,mean_fold_brier
negative_binomial_raw,0.6615503643805531,0.05360349096659114,0.625,0.06944444444444445,0.125,0.6634173217003806,0.05360349096659115
blend_raw,0.6137690925426775,0.055634867960107304,0.3333333333333333,0.027777777777777776,0.05128205128205128,0.6146938999029326,0.05563486796010732
direct_raw,0.6070555056404112,0.05578779440674317,0.3333333333333333,0.027777777777777776,0.05128205128205128,0.6080769514438104,0.05578779440674316
category_raw,0.6230782669461915,0.05583972692187388,1.0,0.027777777777777776,0.05405405405405406,0.6225093050970831,0.05583972692187389
negative_binomial_sigmoid,0.5764700009983029,0.05632470455130154,0.4,0.027777777777777776,0.05194805194805195,0.6677841339274548,0.05632470455130154
blend_sigmoid,0.5577892582609564,0.057004552546411846,0.0,0.0,0.0,0.565494668640921,0.05700455254641183
direct_sigmoid,0.5576270340421284,0.05706065939994029,0.0,0.0,0.0,0.5683588220395822,0.057060659399940296
category_sigmoid,0.5760082859139463,0.05709098937077908,0.0,0.0,0.0,0.6225093050970831,0.05709098937077909
direct_isotonic,0.5349780373365279,0.05727597060250402,0.5,0.027777777777777776,0.05263157894736842,0.5620918788526985,0.057275970602504014
blend_isotonic,0.5502832684436457,0.05729512067408762,0.5,0.027777777777777776,0.05263157894736842,0.5681201144405948,0.05729512067408761
category_isotonic,0.6081286812418887,0.05759370540731453,0.42857142857142855,0.041666666666666664,0.0759493670886076,0.632699281207737,0.057593705407314545
negative_binomial_isotonic,0.5968728162124388,0.05826531315801938,0.4,0.027777777777777776,0.05194805194805195,0.6207776132789297,0.05826531315801938
