decile;days;prediction_mean;actual_mean;high_activity_rate
(-0.001, 10.0];72;3.4039723625000002;4.708333333333333;0.1388888888888889
(10.0, 20.0];72;3.900685469444445;4.055555555555555;0.08333333333333333
(20.0, 30.0];72;4.161919909722222;4.652777777777778;0.1388888888888889
(30.0, 40.0];72;4.43451225;4.75;0.1388888888888889
(40.0, 50.0];72;4.702654515277778;4.847222222222222;0.09722222222222222
(50.0, 60.0];72;4.9674756972222225;4.833333333333333;0.1388888888888889
(60.0, 70.0];72;5.299115429166666;5.305555555555555;0.20833333333333334
(70.0, 80.0];72;5.712071297222222;4.680555555555555;0.1388888888888889
(80.0, 90.0];72;6.179094319444444;6.305555555555555;0.3611111111111111
(90.0, 100.0];72;7.62250954861111;8.01388888888889;0.4027777777777778
