fold;rank;feature
1;1;MES
1;2;WX_FIRE_WEATHER_INDEX
1;3;FIRE_DRY_INDEX_7D
1;4;LLUVIA
1;5;MES_COS
1;6;LLUVIA_DESV_30D_PREV
1;7;LLUVIA_MAX_30D_PREV
1;8;WX_WIND_MAX
1;9;MES_SIN
1;10;LLUVIA_PROMEDIO_7D_PREV
1;11;TEMP_MEDIA
1;12;VIENTO_MEDIO_lag_1
1;13;LLUVIA_PROMEDIO_3D_PREV
1;14;LLUVIA_MAX_14D_PREV
1;15;DIAS_DESDE_ULTIMA_LLUVIA
1;16;EVENTOS_rolling_max_3d
1;17;VIENTO_MAX
1;18;EVENTOS_lag_1
1;19;LLUVIA_PROMEDIO_30D_PREV
1;20;WX_VPD_MAX
1;21;LLUVIA_LAG_10D
1;22;EVENTOS_lag_2
1;23;LLUVIA_PROMEDIO_14D_PREV
1;24;WX_CAPE_MEAN
1;25;DANO_COS
1;26;DANO_SIN
1;27;EVENTOS_rolling_mean_30d
1;28;EVENTOS_rolling_mean_3d
1;29;DIA_SEMANA
1;30;EVENTOS_rolling_std_3d
1;31;VPD_MAX
1;32;EVENTOS_rolling_std_7d
1;33;LLUVIA_TOTAL_14D_PREV
1;34;LLUVIA_LAG_2D
1;35;WX_GUST_MAX
1;36;HUM_MEDIA_lag_1
1;37;DIA_COS
1;38;TEMP_HUM_INDEX
1;39;DIA_MARTES
1;40;TEMP_KURT
1;41;WX_VISIBILITY_MIN
1;42;DIA_DOMINGO
1;43;WX_PRESSURE_MEAN
1;44;WX_DEWPOINT_MEAN
1;45;STORM_COMPOUND_INDEX
1;46;EVENTOS_rolling_mean_7d
1;47;EVENTOS_lag_3
1;48;LLUVIA_TOTAL_30D_PREV
1;49;WX_PRESSURE_RANGE
1;50;VIENTO_SKEW
1;51;N_GASES_lag_1
1;52;LLUVIA_MAX_7D_PREV
1;53;ES_FERIADO
1;54;WX_ET0_SUM
1;55;N_INCENDIO_FOREST_lag_1
1;56;WX_HUMIDITY_MIN
1;57;LLUVIA_DESV_14D_PREV
1;58;WX_CAPE_MAX
1;59;VPD
1;60;HUM_MEDIA
1;61;EVENTOS_lag_7
1;62;LLUVIA_LAG_7D
1;63;EVENTOS_rolling_mean_14d
1;64;WX_GUST_MEAN
1;65;HUM_SKEW
1;66;LLUVIA_LAG_14D
1;67;DIA_VIERNES
1;68;LLUVIA_DESV_7D_PREV
1;69;N_INCENDIO_ESTR_lag_1
1;70;HUM_MIN
1;71;WX_VPD_MEAN
1;72;DIAS_SECOS_30D_PREV
1;73;HUM_MAX
1;74;TEMP_SKEW
1;75;DIAS_SECOS_14D_PREV
1;76;HUM_KURT
1;77;LLUVIA_DESV_3D_PREV
1;78;VIENTO_LLUVIA_INDEX
1;79;DIA_SIN
1;80;EVENTOS_rolling_max_7d
1;81;TEMP_MAX
1;82;VIENTO_KURT
1;83;LLUVIA_LAG_3D
1;84;N_RESCATE_PERS_lag_1
1;85;WX_PRECIP_MAX_HOURLY
1;86;VIENTO_MEDIO
1;87;N_RESCATE_VEH_lag_1
1;88;TEMP_MIN
1;89;WX_PRECIP_HOURS
1;90;DIAS_SECOS_7D_PREV
1;91;LLUVIA_LAG_1D
1;92;LLUVIA_LAG_5D
1;93;LLUVIA_TOTAL_3D_PREV
1;94;DIA_JUEVES
1;95;DIA_SABADO
1;96;N_EMERGENCIAS_CLIMATICAS_lag_1
1;97;LLUVIA_MAX_3D_PREV
1;98;DIAS_SECOS_3D_PREV
1;99;LLUVIA_TOTAL_7D_PREV
1;100;ES_FIN_SEMANA
1;101;ES_FERIADO_IRRENUNCIABLE
1;102;ES_PRE_FERIADO
1;103;DIA_LUNES
1;104;DIA_MIERCOLES
1;105;WX_HEAVY_RAIN_HOURS
1;106;WX_LOW_HUMIDITY_HOURS
1;107;WX_TEMP_MAX
1;108;WX_WIND_RAIN_INDEX
2;1;LLUVIA
2;2;VIENTO_LLUVIA_INDEX
2;3;WX_PRECIP_HOURS
2;4;LLUVIA_PROMEDIO_3D_PREV
2;5;EVENTOS_rolling_mean_14d
2;6;WX_CAPE_MAX
2;7;MES
2;8;WX_FIRE_WEATHER_INDEX
2;9;EVENTOS_rolling_mean_30d
2;10;LLUVIA_DESV_30D_PREV
2;11;FIRE_DRY_INDEX_7D
2;12;LLUVIA_MAX_30D_PREV
2;13;VIENTO_MAX
2;14;MES_SIN
2;15;ES_FIN_SEMANA
2;16;WX_PRESSURE_MEAN
2;17;DIAS_DESDE_ULTIMA_LLUVIA
2;18;VIENTO_MEDIO_lag_1
2;19;VIENTO_MEDIO
2;20;EVENTOS_rolling_mean_3d
2;21;WX_HUMIDITY_MIN
2;22;LLUVIA_LAG_7D
2;23;WX_WIND_MAX
2;24;EVENTOS_rolling_max_3d
2;25;EVENTOS_rolling_std_3d
2;26;WX_CAPE_MEAN
2;27;DANO_COS
2;28;DANO_SIN
2;29;LLUVIA_TOTAL_7D_PREV
2;30;LLUVIA_PROMEDIO_7D_PREV
2;31;VPD
2;32;STORM_COMPOUND_INDEX
2;33;DIA_SEMANA
2;34;EVENTOS_lag_2
2;35;HUM_MEDIA_lag_1
2;36;LLUVIA_DESV_7D_PREV
2;37;HUM_MEDIA
2;38;LLUVIA_PROMEDIO_30D_PREV
2;39;N_INCENDIO_FOREST_lag_1
2;40;EVENTOS_lag_1
2;41;WX_VPD_MEAN
2;42;DIA_VIERNES
2;43;EVENTOS_rolling_std_7d
2;44;DIA_DOMINGO
2;45;HUM_MIN
2;46;LLUVIA_LAG_14D
2;47;WX_VPD_MAX
2;48;VPD_MAX
2;49;LLUVIA_LAG_1D
2;50;LLUVIA_DESV_3D_PREV
2;51;LLUVIA_PROMEDIO_14D_PREV
2;52;DIAS_SECOS_3D_PREV
2;53;WX_DEWPOINT_MEAN
2;54;WX_ET0_SUM
2;55;WX_GUST_MAX
2;56;EVENTOS_rolling_mean_7d
2;57;LLUVIA_MAX_3D_PREV
2;58;VIENTO_SKEW
2;59;EVENTOS_lag_3
2;60;TEMP_MEDIA
2;61;EVENTOS_lag_7
2;62;LLUVIA_DESV_14D_PREV
2;63;TEMP_HUM_INDEX
2;64;ES_FERIADO
2;65;WX_PRECIP_MAX_HOURLY
2;66;WX_PRESSURE_RANGE
2;67;LLUVIA_LAG_3D
2;68;DIA_COS
2;69;DIA_SIN
2;70;TEMP_SKEW
2;71;WX_GUST_MEAN
2;72;DIAS_SECOS_30D_PREV
2;73;EVENTOS_rolling_max_7d
2;74;TEMP_MIN
2;75;LLUVIA_TOTAL_30D_PREV
2;76;HUM_KURT
2;77;TEMP_KURT
2;78;LLUVIA_LAG_10D
2;79;LLUVIA_MAX_7D_PREV
2;80;LLUVIA_LAG_2D
2;81;HUM_SKEW
2;82;N_GASES_lag_1
2;83;TEMP_MAX
2;84;LLUVIA_MAX_14D_PREV
2;85;VIENTO_KURT
2;86;WX_VISIBILITY_MIN
2;87;DIAS_SECOS_14D_PREV
2;88;WX_WIND_RAIN_INDEX
2;89;N_RESCATE_PERS_lag_1
2;90;HUM_MAX
2;91;LLUVIA_TOTAL_3D_PREV
2;92;DIAS_SECOS_7D_PREV
2;93;WX_TEMP_MAX
2;94;LLUVIA_LAG_5D
2;95;N_RESCATE_VEH_lag_1
2;96;DIA_JUEVES
2;97;N_INCENDIO_ESTR_lag_1
2;98;N_EMERGENCIAS_CLIMATICAS_lag_1
2;99;LLUVIA_TOTAL_14D_PREV
2;100;ES_FERIADO_IRRENUNCIABLE
2;101;ES_PRE_FERIADO
2;102;MES_COS
2;103;DIA_LUNES
2;104;DIA_MARTES
2;105;DIA_MIERCOLES
2;106;DIA_SABADO
2;107;WX_HEAVY_RAIN_HOURS
2;108;WX_LOW_HUMIDITY_HOURS
3;1;VIENTO_LLUVIA_INDEX
3;2;LLUVIA
3;3;VIENTO_MEDIO_lag_1
3;4;MES_SIN
3;5;EVENTOS_rolling_mean_30d
3;6;WX_FIRE_WEATHER_INDEX
3;7;WX_GUST_MAX
3;8;EVENTOS_rolling_mean_3d
3;9;EVENTOS_rolling_mean_14d
3;10;FIRE_DRY_INDEX_7D
3;11;WX_PRESSURE_MEAN
3;12;VPD
3;13;VIENTO_MEDIO
3;14;LLUVIA_DESV_30D_PREV
3;15;WX_WIND_MAX
3;16;LLUVIA_PROMEDIO_3D_PREV
3;17;LLUVIA_LAG_5D
3;18;MES
3;19;EVENTOS_lag_2
3;20;DIAS_DESDE_ULTIMA_LLUVIA
3;21;LLUVIA_MAX_14D_PREV
3;22;EVENTOS_rolling_std_3d
3;23;STORM_COMPOUND_INDEX
3;24;LLUVIA_PROMEDIO_14D_PREV
3;25;HUM_MEDIA_lag_1
3;26;LLUVIA_TOTAL_14D_PREV
3;27;EVENTOS_lag_1
3;28;EVENTOS_lag_3
3;29;DIA_VIERNES
3;30;ES_FERIADO
3;31;WX_VPD_MAX
3;32;DANO_SIN
3;33;WX_CAPE_MAX
3;34;ES_FIN_SEMANA
3;35;WX_GUST_MEAN
3;36;DIA_SEMANA
3;37;LLUVIA_LAG_7D
3;38;DIA_DOMINGO
3;39;LLUVIA_PROMEDIO_30D_PREV
3;40;LLUVIA_MAX_7D_PREV
3;41;N_RESCATE_VEH_lag_1
3;42;WX_VPD_MEAN
3;43;LLUVIA_PROMEDIO_7D_PREV
3;44;EVENTOS_rolling_std_7d
3;45;LLUVIA_DESV_14D_PREV
3;46;LLUVIA_MAX_3D_PREV
3;47;VIENTO_MAX
3;48;N_GASES_lag_1
3;49;VPD_MAX
3;50;LLUVIA_TOTAL_7D_PREV
3;51;N_INCENDIO_FOREST_lag_1
3;52;HUM_SKEW
3;53;LLUVIA_LAG_3D
3;54;VIENTO_SKEW
3;55;LLUVIA_DESV_7D_PREV
3;56;WX_PRECIP_MAX_HOURLY
3;57;DIA_COS
3;58;TEMP_HUM_INDEX
3;59;LLUVIA_DESV_3D_PREV
3;60;WX_PRESSURE_RANGE
3;61;EVENTOS_rolling_mean_7d
3;62;DANO_COS
3;63;MES_COS
3;64;LLUVIA_MAX_30D_PREV
3;65;LLUVIA_LAG_14D
3;66;LLUVIA_LAG_10D
3;67;TEMP_KURT
3;68;LLUVIA_TOTAL_30D_PREV
3;69;LLUVIA_LAG_2D
3;70;TEMP_SKEW
3;71;HUM_MIN
3;72;WX_DEWPOINT_MEAN
3;73;DIAS_SECOS_14D_PREV
3;74;TEMP_MAX
3;75;DIAS_SECOS_3D_PREV
3;76;N_INCENDIO_ESTR_lag_1
3;77;WX_VISIBILITY_MIN
3;78;HUM_MEDIA
3;79;HUM_KURT
3;80;VIENTO_KURT
3;81;TEMP_MEDIA
3;82;WX_ET0_SUM
3;83;LLUVIA_LAG_1D
3;84;WX_CAPE_MEAN
3;85;DIAS_SECOS_30D_PREV
3;86;EVENTOS_rolling_max_7d
3;87;EVENTOS_lag_7
3;88;DIA_SIN
3;89;HUM_MAX
3;90;N_RESCATE_PERS_lag_1
3;91;EVENTOS_rolling_max_3d
3;92;TEMP_MIN
3;93;LLUVIA_TOTAL_3D_PREV
3;94;ES_PRE_FERIADO
3;95;DIA_MARTES
3;96;WX_HUMIDITY_MIN
3;97;WX_WIND_RAIN_INDEX
3;98;DIAS_SECOS_7D_PREV
3;99;WX_TEMP_MAX
3;100;N_EMERGENCIAS_CLIMATICAS_lag_1
3;101;ES_FERIADO_IRRENUNCIABLE
3;102;DIA_LUNES
3;103;DIA_MIERCOLES
3;104;DIA_JUEVES
3;105;DIA_SABADO
3;106;WX_PRECIP_HOURS
3;107;WX_HEAVY_RAIN_HOURS
3;108;WX_LOW_HUMIDITY_HOURS
4;1;LLUVIA
4;2;STORM_COMPOUND_INDEX
4;3;VIENTO_LLUVIA_INDEX
4;4;WX_FIRE_WEATHER_INDEX
4;5;EVENTOS_rolling_mean_30d
4;6;VIENTO_MEDIO_lag_1
4;7;MES_SIN
4;8;WX_PRESSURE_MEAN
4;9;WX_VPD_MAX
4;10;EVENTOS_rolling_mean_3d
4;11;MES_COS
4;12;WX_GUST_MAX
4;13;LLUVIA_TOTAL_30D_PREV
4;14;EVENTOS_rolling_mean_14d
4;15;LLUVIA_DESV_30D_PREV
4;16;EVENTOS_lag_1
4;17;FIRE_DRY_INDEX_7D
4;18;VIENTO_MEDIO
4;19;LLUVIA_PROMEDIO_30D_PREV
4;20;EVENTOS_rolling_max_3d
4;21;LLUVIA_PROMEDIO_14D_PREV
4;22;LLUVIA_DESV_14D_PREV
4;23;DANO_SIN
4;24;LLUVIA_LAG_14D
4;25;WX_VPD_MEAN
4;26;ES_FERIADO
4;27;VPD
4;28;EVENTOS_rolling_std_7d
4;29;VIENTO_MAX
4;30;MES
4;31;EVENTOS_lag_2
4;32;DIAS_DESDE_ULTIMA_LLUVIA
4;33;EVENTOS_rolling_std_3d
4;34;HUM_MEDIA_lag_1
4;35;LLUVIA_DESV_7D_PREV
4;36;LLUVIA_LAG_5D
4;37;WX_TEMP_MAX
4;38;WX_PRESSURE_RANGE
4;39;DIA_SEMANA
4;40;LLUVIA_LAG_7D
4;41;WX_CAPE_MAX
4;42;LLUVIA_MAX_3D_PREV
4;43;DIAS_SECOS_30D_PREV
4;44;N_EMERGENCIAS_CLIMATICAS_lag_1
4;45;TEMP_MEDIA
4;46;N_RESCATE_PERS_lag_1
4;47;LLUVIA_PROMEDIO_3D_PREV
4;48;TEMP_HUM_INDEX
4;49;WX_GUST_MEAN
4;50;LLUVIA_TOTAL_3D_PREV
4;51;DIA_VIERNES
4;52;N_INCENDIO_FOREST_lag_1
4;53;LLUVIA_TOTAL_14D_PREV
4;54;HUM_KURT
4;55;LLUVIA_MAX_14D_PREV
4;56;VIENTO_SKEW
4;57;WX_WIND_MAX
4;58;LLUVIA_LAG_1D
4;59;EVENTOS_lag_7
4;60;LLUVIA_LAG_3D
4;61;LLUVIA_LAG_10D
4;62;EVENTOS_rolling_mean_7d
4;63;EVENTOS_lag_3
4;64;WX_VISIBILITY_MIN
4;65;VPD_MAX
4;66;N_INCENDIO_ESTR_lag_1
4;67;DIA_SIN
4;68;DIA_MARTES
4;69;LLUVIA_MAX_30D_PREV
4;70;WX_DEWPOINT_MEAN
4;71;LLUVIA_DESV_3D_PREV
4;72;EVENTOS_rolling_max_7d
4;73;WX_ET0_SUM
4;74;HUM_SKEW
4;75;TEMP_SKEW
4;76;HUM_MAX
4;77;DIA_COS
4;78;LLUVIA_LAG_2D
4;79;LLUVIA_PROMEDIO_7D_PREV
4;80;WX_HUMIDITY_MIN
4;81;HUM_MEDIA
4;82;DIA_DOMINGO
4;83;TEMP_MAX
4;84;WX_CAPE_MEAN
4;85;N_RESCATE_VEH_lag_1
4;86;ES_FIN_SEMANA
4;87;VIENTO_KURT
4;88;DANO_COS
4;89;TEMP_KURT
4;90;N_GASES_lag_1
4;91;ES_PRE_FERIADO
4;92;WX_PRECIP_MAX_HOURLY
4;93;DIAS_SECOS_3D_PREV
4;94;TEMP_MIN
4;95;LLUVIA_MAX_7D_PREV
4;96;DIA_JUEVES
4;97;LLUVIA_TOTAL_7D_PREV
4;98;HUM_MIN
4;99;DIAS_SECOS_14D_PREV
4;100;WX_WIND_RAIN_INDEX
4;101;DIAS_SECOS_7D_PREV
4;102;ES_FERIADO_IRRENUNCIABLE
4;103;DIA_LUNES
4;104;DIA_MIERCOLES
4;105;DIA_SABADO
4;106;WX_PRECIP_HOURS
4;107;WX_HEAVY_RAIN_HOURS
4;108;WX_LOW_HUMIDITY_HOURS
5;1;WX_HEAVY_RAIN_HOURS
5;2;WX_PRECIP_HOURS
5;3;LLUVIA
5;4;VIENTO_LLUVIA_INDEX
5;5;STORM_COMPOUND_INDEX
5;6;VIENTO_MEDIO_lag_1
5;7;WX_FIRE_WEATHER_INDEX
5;8;N_EMERGENCIAS_CLIMATICAS_lag_1
5;9;EVENTOS_lag_1
5;10;WX_GUST_MAX
5;11;EVENTOS_rolling_mean_30d
5;12;EVENTOS_rolling_mean_14d
5;13;MES_SIN
5;14;VIENTO_MAX
5;15;WX_PRESSURE_MEAN
5;16;LLUVIA_TOTAL_30D_PREV
5;17;WX_VPD_MAX
5;18;EVENTOS_rolling_mean_7d
5;19;FIRE_DRY_INDEX_7D
5;20;LLUVIA_DESV_30D_PREV
5;21;EVENTOS_rolling_mean_3d
5;22;DANO_COS
5;23;LLUVIA_PROMEDIO_30D_PREV
5;24;DANO_SIN
5;25;EVENTOS_rolling_max_3d
5;26;VPD
5;27;VIENTO_MEDIO
5;28;LLUVIA_MAX_30D_PREV
5;29;LLUVIA_TOTAL_14D_PREV
5;30;WX_VPD_MEAN
5;31;VPD_MAX
5;32;LLUVIA_LAG_14D
5;33;MES
5;34;LLUVIA_LAG_7D
5;35;DIAS_SECOS_30D_PREV
5;36;EVENTOS_rolling_std_7d
5;37;HUM_MEDIA_lag_1
5;38;LLUVIA_MAX_7D_PREV
