candidate;fold;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction
top_20;1;2.637075924873352;3.702240003233034;-0.04911242989428177;0.5182291666666667;5.541666666666667;5.038477238019308;3.6296996966629598;1.174695294078955;0.3236342927099274;3.532438337802887;7.287436032295227;3.7549976944923404;0.4172219660547045;0.5416666666666666;3.1527886390686035;8.117433547973633
top_30;1;2.557907783985138;3.5329072411615594;0.04466131514611493;0.5386284722222223;5.541666666666667;4.925425159931183;3.6296996966629598;1.193415289467989;0.3287917428996069;3.3213300466537476;7.0615645885467515;3.740234541893004;0.4155816157658893;0.6;2.9456663131713867;8.746801376342773
top_40;1;2.6582637151082356;3.6228270091682906;-0.004588235853899558;0.5225694444444444;5.541666666666667;5.066828608512878;3.6296996966629598;1.231059473893584;0.33916289962648544;3.3744562745094298;7.118577671051025;3.744121396541595;0.41601348850462166;0.5666666666666667;2.1275699138641357;8.390290260314941
top_60;1;2.5442055225372315;3.5357973765303536;0.043097624230171716;0.5659722222222222;5.541666666666667;4.976033047835032;3.6296996966629598;1.2227100922211642;0.336862604183285;3.2698037385940553;7.265590572357178;3.995786833763123;0.4439763148625692;0.5416666666666666;2.4065940380096436;8.069007873535156
top_80;1;2.611657377084096;3.5182632680486634;0.05256469824579868;0.5642361111111112;5.541666666666667;5.23047335545222;3.6296996966629598;1.3211740189807548;0.363989897069282;3.60798636674881;7.712708282470703;4.104721915721893;0.45608021285798805;0.48333333333333334;2.048553466796875;8.232816696166992
top_108;1;2.572381466627121;3.496196780423931;0.0644120245821781;0.5334201388888888;5.541666666666667;5.1903174221515656;3.6296996966629598;1.3791124574031643;0.3799522199236152;3.4771756649017336;7.599354767799377;4.122179102897643;0.4580199003219604;0.525;1.9985511302947998;8.842367172241211
top_20;2;2.403730158011119;3.011497047339004;0.28417033467463526;0.7157118055555556;5.075;4.500232072671254;3.5743307536005187;1.4454045063586436;0.40438465435876325;3.292686367034912;6.6696862220764155;3.3769998550415035;0.33769998550415037;0.5083333333333333;2.9821112155914307;15.384108543395996
top_30;2;2.418725822369258;3.0317555746766374;0.2745070799007159;0.6714409722222222;5.075;4.513844515879949;3.5743307536005187;1.5692164402725517;0.43902384766486374;3.2773589372634886;6.713772130012511;3.436413192749022;0.3436413192749022;0.525;2.8676676750183105;16.345502853393555
top_40;2;2.4227926631768546;3.0336540248737394;0.27359820491282016;0.7083333333333333;5.075;4.497503238916397;3.5743307536005187;1.4639634743723928;0.4095769460891954;3.159051537513733;6.696537113189697;3.537485575675964;0.3537485575675964;0.525;2.4802610874176025;15.18427848815918
top_60;2;2.376294811566671;2.9866167376587884;0.2959495209776627;0.744357638888889;5.075;4.487217593193054;3.5743307536005187;1.5100119152972904;0.4224600406037452;3.137225294113159;6.800897407531736;3.6636721134185772;0.36636721134185773;0.575;2.060858726501465;15.52419662475586
top_80;2;2.3594279805819194;3.0207730496490575;0.27975375127138713;0.7452256944444445;5.075;4.454421639442444;3.5743307536005187;1.3695640888735359;0.38316657950413163;2.89094762802124;6.549833965301512;3.658886337280272;0.3658886337280272;0.55;2.192610740661621;13.49907112121582
top_108;2;2.3816051681836448;3.0486218191912893;0.2664125107632217;0.747829861111111;5.075;4.497258110841115;3.5743307536005187;1.3282193691932433;0.3715994575642706;3.102864146232605;6.3928640365600575;3.2899998903274525;0.32899998903274524;0.6083333333333333;2.276794910430908;13.442510604858398
top_20;3;2.3445872525374094;3.048790140857098;0.03704525175706885;0.6216020297209134;5.925;5.477990204095841;3.1199076155251397;0.9689798848023514;0.3105796722891917;4.129642581939697;6.963245391845703;2.833602809906006;0.3148447566562229;0.6666666666666666;2.9563305377960205;8.647270202636719
top_30;3;2.486410798629125;3.2235359606816862;-0.0765045136528697;0.5447625951431678;5.925;5.5205224295457205;3.1199076155251397;1.0519117878138249;0.33716119752371837;4.112364602088928;7.177961087226867;3.065596485137939;0.3406218316819932;0.6666666666666666;3.170030117034912;8.7282075881958
top_40;3;2.4842570503552754;3.207073536106875;-0.06553728868810293;0.5632475534613991;5.925;5.464420767625173;3.1199076155251397;1.0908748981820704;0.3496497437147527;3.9471292018890383;7.366676092147827;3.419546890258789;0.3799496544731988;0.675;3.1866466999053955;9.132554054260254
top_60;3;2.446341174840927;3.165184468369667;-0.03788412255371232;0.5926060166727076;5.925;5.588162142038345;3.1199076155251397;1.0172720538931308;0.32605838994431396;4.129628229141235;7.321000814437866;3.191372585296631;0.35459695392184787;0.6666666666666666;3.6730425357818604;8.55483627319336
top_80;3;2.4464885075887044;3.1327851277851706;-0.01674497125127572;0.5918811163465024;5.925;5.667349028587341;3.1199076155251397;0.9693307235223441;0.3106921239266206;4.258878374099732;7.528055930137635;3.269177556037903;0.3632419506708781;0.6416666666666667;3.78249192237854;8.479852676391602
top_108;3;2.458061824242274;3.149668175625146;-0.02773328209742565;0.5976803189561436;5.925;5.638140855232875;3.1199076155251397;1.0565480650438783;0.3386472278173664;4.166093516349792;7.914651393890381;3.7485578775405886;0.41650643083784317;0.7;3.6927037239074707;8.670353889465332
top_20;4;2.089353022972743;2.662804851799689;0.23428405196890234;0.5757211538461539;5.3;5.0117595533529915;3.055783880782543;1.3151784017276373;0.430389861664837;3.716853213310242;6.95801510810852;3.241161894798278;0.40262880680723967;0.75;2.9966323375701904;15.468703269958496
top_30;4;2.0306705574194592;2.581549606208894;0.2803025519095791;0.6442307692307692;5.3;5.014014770587285;3.055783880782543;1.393311500607337;0.45595878339751233;3.69189373254776;7.074799418449402;3.3829056859016418;0.42023673116790594;0.775;2.9248838424682617;16.428176879882812
top_40;4;2.081889396905899;2.643081564077605;0.24558529650465233;0.5907451923076922;5.3;4.977112152179083;3.055783880782543;1.3896552835034481;0.4547622926617367;3.7139829635620116;7.005574250221251;3.2915912866592394;0.4088933275353094;0.7416666666666667;2.2777063846588135;15.85686206817627
top_60;4;2.0518908222516377;2.6356200339905995;0.24983877283233147;0.609375;5.3;4.924524704615275;3.055783880782543;1.365179837891762;0.44675274533556303;3.5173266649246218;6.9824509620666495;3.4651242971420277;0.430450223247457;0.7166666666666667;2.4610464572906494;15.480082511901855
top_80;4;2.04551770289739;2.6369637476545638;0.24907367101032374;0.6466346153846154;5.3;5.025825250148773;3.055783880782543;1.3037838197865168;0.4266610043942755;3.6825581431388854;6.7942551612854;3.1116970181465144;0.38654621343434975;0.7333333333333333;2.418640375137329;14.6729736328125
top_108;4;2.0663992285728456;2.6608489408717766;0.2354085220152855;0.6442307692307693;5.3;4.983228985468546;3.055783880782543;1.2745288177354772;0.41708735547393766;3.616434025764465;6.862104272842406;3.245670247077941;0.4031888505686884;0.7416666666666667;2.544793128967285;14.216980934143066
top_20;5;1.9213911056518556;2.3991574973200827;-0.06923175526050573;0.509090909090909;4.241666666666666;4.388808035850525;2.329914462069418;0.9116837632388406;0.39129495012837845;3.4507726311683653;6.042126464843749;2.5913538336753836;0.32391922920942295;0.5916666666666667;2.9388012886047363;9.378229141235352
top_30;5;1.8721644838651021;2.372309865873746;-0.04543530019731312;0.5263636363636364;4.241666666666666;4.321841812133789;2.329914462069418;0.8776482571726862;0.37668690051100145;3.4513857841491697;5.701442766189575;2.2500569820404053;0.28125712275505066;0.5833333333333334;3.1755199432373047;9.919053077697754
top_40;5;1.8979202171166738;2.3389760857899553;-0.016262483655892446;0.5418181818181819;4.241666666666666;4.293483291069666;2.329914462069418;0.7874179055188563;0.3379600059735566;3.4672394156455995;5.662305808067321;2.195066392421722;0.27438329905271525;0.5416666666666666;3.090205430984497;8.2827787399292
