fold,task,model,mae,rmse,r2,poisson_deviance,mase_vs_train_mean,average_precision,brier,log_loss,ece_10,accuracy,precision,recall,f1,alert_rate,roc_auc
1,count,gradient_boosting_absolute,2.795070103580988,3.768227522855046,-0.16085189163070712,1.928532651471236,1.0579274810513717,,,,,,,,,,
1,count,hist_gradient_boosting_poisson,2.9900513844962724,4.034247702333127,-0.3305392775476992,2.307641379247281,1.1317274387363685,,,,,,,,,,
1,count,poisson_regressor,2.8325334125389285,3.7159628604886805,-0.12887357822350465,1.671099857596139,1.0721072556577207,,,,,,,,,,
1,count,tweedie_regressor,2.6691384022257365,3.5243392333672148,-0.015448699848340741,1.582245945895601,1.0102626273403368,,,,,,,,,,
1,count,negative_binomial,9.886284476354687,23.034723553318134,-42.377906454097534,10.807262594085861,3.741935495509528,,,,,,,,,,
1,classification,rf_raw,,,,,,0.3920333468342323,0.2579095907964406,0.7155929445967535,0.13016721767179468,0.5101214574898786,0.4,0.6021505376344086,0.48068669527896996,0.5668016194331984,0.5178745985197598
1,classification,rf_sigmoid,,,,,,0.3920333468342323,0.25121416572166727,0.7029248693231404,0.1285683029383929,0.6194331983805668,0.0,0.0,0.0,0.004048582995951417,0.5178745985197598
1,classification,rf_isotonic,,,,,,0.39604061099050175,0.25711224704326274,0.862969844206818,0.15765679589869017,0.6072874493927125,0.42857142857142855,0.12903225806451613,0.19834710743801653,0.11336032388663968,0.5269515430805752
1,classification,negative_binomial_derived_risk,,,,,,0.4797210266132029,0.4099006626021323,2.2367089061230594,0.40443595084110856,0.4574898785425101,0.4080717488789238,0.978494623655914,0.5759493670886076,0.902834008097166,0.6194316436251921
2,count,gradient_boosting_absolute,2.7353102051026537,3.3477044507427958,-0.33154588129606455,2.0427358416584456,0.9446409052675013,,,,,,,,,,
2,count,hist_gradient_boosting_poisson,2.9238647088146865,3.5556526833440887,-0.5021060006483755,2.1924868595190774,1.0097583083125117,,,,,,,,,,
2,count,poisson_regressor,3.148971006079831,3.7746198899530423,-0.6928105784517691,2.467005433069426,1.0874988936520749,,,,,,,,,,
2,count,tweedie_regressor,3.0991400371185835,3.7250857054123214,-0.6486727310060838,2.42071057275135,1.0702897407223277,,,,,,,,,,
2,count,negative_binomial,3.2104695833324994,3.8468273946021956,-0.7581961167006401,2.526863981518095,1.108737461614221,,,,,,,,,,
2,classification,rf_raw,,,,,,0.21273603184122872,0.19574038912131733,0.5796441946596848,0.27506075592219303,0.2793522267206478,0.14,0.8235294117647058,0.23931623931623933,0.8097165991902834,0.6289698978182822
2,classification,rf_sigmoid,,,,,,0.21273603184122872,0.15519127018373086,0.49669072513497653,0.19425498338992414,0.145748987854251,0.13877551020408163,1.0,0.24372759856630824,0.9919028340080972,0.6289698978182822
2,classification,rf_isotonic,,,,,,0.17982863535774457,0.16028045270243316,0.5067610161130282,0.18144793679402355,0.31983805668016196,0.14361702127659576,0.7941176470588235,0.24324324324324326,0.7611336032388664,0.5976249654791493
2,classification,negative_binomial_derived_risk,,,,,,0.16046621502688907,0.20070352287125415,0.5865182139867493,0.2538380807038871,0.3724696356275304,0.16201117318435754,0.8529411764705882,0.27230046948356806,0.7246963562753036,0.58036454018227
3,count,gradient_boosting_absolute,2.4608144268990184,3.384814454290153,0.12655018430706144,1.7866287810932306,0.8943425524724485,,,,,,,,,,
3,count,hist_gradient_boosting_poisson,2.431075034736402,3.422460368449183,0.10701311776983824,1.8420858028906386,0.8835342592484813,,,,,,,,,,
3,count,poisson_regressor,2.5678407304194946,3.3399332349604265,0.14955977352113425,1.8750858254660427,0.9332395031835237,,,,,,,,,,
3,count,tweedie_regressor,2.572000735376315,3.3461707633012394,0.14638030973260052,1.8673291342577918,0.9347513886027217,,,,,,,,,,
3,count,negative_binomial,2.580271985991681,3.351397331745855,0.1437115959188946,1.891519675873235,0.9377574386756674,,,,,,,,,,
3,classification,rf_raw,,,,,,0.3538126444443612,0.1654959475476334,0.5130790424364368,0.12076314375626637,0.5101214574898786,0.23308270676691728,0.62,0.33879781420765026,0.5384615384615384,0.6321827411167513
3,classification,rf_sigmoid,,,,,,0.3538126444443612,0.16135601733327087,0.5036469611658655,0.10031166846485307,0.7975708502024291,0.0,0.0,0.0,0.0,0.6321827411167513
3,classification,rf_isotonic,,,,,,0.25410468319559226,0.1595704706198962,0.49658823108413447,0.13916461372113628,0.8016194331983806,0.6666666666666666,0.04,0.07547169811320754,0.012145748987854251,0.5894416243654823
3,classification,negative_binomial_derived_risk,,,,,,0.39984090087420066,0.15992513553598542,0.5063628718816038,0.11685426470218108,0.680161943319838,0.27692307692307694,0.36,0.3130434782608696,0.2631578947368421,0.561218274111675
