fold,task,model,mae,rmse,r2,poisson_deviance,mase_vs_train_mean,average_precision,brier,log_loss,ece_10,accuracy,precision,recall,f1,alert_rate,roc_auc
1,count,gradient_boosting_absolute,1.688505481298254,2.316243493828155,0.0013859109959871718,1.331200425442684,1.0005437209734835,,,,,,,,,,
1,count,hist_gradient_boosting_poisson,1.8112853620589677,2.4882794795631393,-0.15246456305955158,1.6086752663930524,1.0732983789344106,,,,,,,,,,
1,count,poisson_regressor,1.6670588921293774,2.2634947362560114,0.046351693368180125,1.2534943477175517,0.9878352930963537,,,,,,,,,,
1,count,tweedie_regressor,1.6634568738528266,2.2743874854721735,0.03715101203783544,1.2620882383255307,0.9857008749322718,,,,,,,,,,
1,count,negative_binomial,1.6698347442565094,2.2336451453639574,0.07133811382328414,1.2350752485512129,0.9894801568216507,,,,,,,,,,
1,classification,rf_raw,,,,,,0.09257454787399379,0.05805867722466932,0.22238310058212046,0.054640056461836464,0.9282700421940928,0.0,0.0,0.0,0.012658227848101266,0.6646380525304292
1,classification,rf_sigmoid,,,,,,0.09257454787399379,0.05743184543257743,0.25920698192885777,0.05464304926962922,0.9409282700421941,0.0,0.0,0.0,0.0,0.6646380525304292
1,classification,rf_isotonic,,,,,,0.08594360613847622,0.05753831500952211,0.38965223420678957,0.05500458678409133,0.9409282700421941,0.0,0.0,0.0,0.0,0.6430172966047405
1,classification,negative_binomial_derived_risk,,,,,,0.253872103054094,0.05270847700375589,0.2132077208833001,0.040890747940224306,0.9451476793248945,1.0,0.07142857142857142,0.13333333333333333,0.004219409282700422,0.7328635490070468
2,count,gradient_boosting_absolute,1.61423865254523,1.9991433927444449,-0.13120739205483845,1.1876623351169098,1.0433851654178714,,,,,,,,,,
2,count,hist_gradient_boosting_poisson,1.6838784309703048,2.1065992769703237,-0.2560826133850347,1.3160437757871202,1.0883977858362608,,,,,,,,,,
2,count,poisson_regressor,1.6493746797810949,2.019015319762752,-0.15380806720234874,1.1785556649249562,1.066095815749417,,,,,,,,,,
2,count,tweedie_regressor,1.6347948847089409,2.0019461100173235,-0.13438142842681922,1.1613065323621634,1.0566719663891428,,,,,,,,,,
2,count,negative_binomial,1.660840880884531,2.033258072921966,-0.17014411623226278,1.1924810614877437,1.0735071511899106,,,,,,,,,,
2,classification,rf_raw,,,,,,0.04100263627249996,0.04435750744627139,0.19386878800888935,0.06594032856525377,0.9282700421940928,0.0,0.0,0.0,0.0379746835443038,0.5322052401746725
2,classification,rf_sigmoid,,,,,,0.04100263627249996,0.0327628177167345,0.14874555065537884,0.029626805967522603,0.9662447257383966,0.0,0.0,0.0,0.0,0.5322052401746725
2,classification,rf_isotonic,,,,,,0.0347757466501833,0.03365072375301256,0.28887296926840894,0.046037892833150615,0.9662447257383966,0.0,0.0,0.0,0.0,0.49181222707423583
2,classification,negative_binomial_derived_risk,,,,,,0.0364244669515824,0.03435441912073529,0.16166728009861245,0.045779466560209335,0.9662447257383966,0.0,0.0,0.0,0.0,0.4934497816593887
3,count,gradient_boosting_absolute,1.8797593868827462,2.8105099121008235,-0.05650466092279882,1.6902785975845853,1.0338914910828265,,,,,,,,,,
3,count,hist_gradient_boosting_poisson,1.905644915466794,2.7795044845891135,-0.033322611625845155,1.6932641286845183,1.0481288599354486,,,,,,,,,,
3,count,poisson_regressor,1.784777642805402,2.6461207875163852,0.06347256595670392,1.438591649385816,0.9816503278280858,,,,,,,,,,
3,count,tweedie_regressor,1.7811395778927053,2.6437455382694863,0.06515312997721401,1.4298302510676968,0.9796493460090873,,,,,,,,,,
3,count,negative_binomial,1.7818402127927728,2.6345032312957937,0.0716779933009768,1.4286527346956583,0.9800347040855466,,,,,,,,,,
3,classification,rf_raw,,,,,,0.10758491829754195,0.07787470874224899,0.3054013372786122,0.08352711270018087,0.919831223628692,0.5,0.05263157894736842,0.09523809523809523,0.008438818565400843,0.5444229840656687
