Fecha;Texto
2020-03-31T01:30:06.000Z;EMERGENCIA: 22:29 10-2 (LLAMADO DE PASTIZALES), EJERCITO / AVIACION , B-9
2020-03-31T00:22:30.000Z;EMERGENCIA: 21:21 10-4 (RESCATE VEHICULAR), AVENIDA CLAUDIO GAY ORIENTE / TOROMIRO, B-4 RB-5
2020-03-30T10:29:27.000Z;EMERGENCIA: 7:28 10-4 (RESCATE VEHICULAR), BILBAO / VALDIVIA, BR-01 RB-3
2020-03-28T15:34:44.000Z;EMERGENCIA: 12:33 10-4 (RESCATE VEHICULAR), AVENIDA CRISTOBAL COLON / JUAN GUILLERMO SOSA, B-4 RB-5
2020-03-27T02:14:58.000Z;EMERGENCIA: 23:14 10-0 (LLAMADO ESTRUCTURAL), BUZO SOBENES / ERRAZURIZ, H-4 B-7 H-8
2020-03-26T23:08:54.000Z;EMERGENCIA: 20:08 10-10 (REBROTE DE EMERGENCIA ANTERIOR), LOS NARDOS ALTURA DEL 5090, B-5
2020-03-26T16:57:50.000Z;13:57, SALE H-8 EN APOYO A  LOS NARDOS / LOS GIRASOLES
2020-03-26T16:54:20.000Z;EMERGENCIA: 13:53 10-0 (LLAMADO ESTRUCTURAL), LOS NARDOS / LOS GIRASOLES, Q-2 H-4 B-5
2020-03-25T21:13:36.000Z;18:12, SALE Z-9 EN APOYO A  BAHIA SAN VICENTE / FUERTE O´HIGGINS
2020-03-25T21:09:42.000Z;18:08, SALE F-7 EN APOYO A  BAHIA SAN VICENTE / FUERTE O´HIGGINS
2020-03-25T20:56:55.000Z;EMERGENCIA: 17:56 10-2 (LLAMADO DE PASTIZALES), BAHIA SAN VICENTE / FUERTE O´HIGGINS, F-6
2020-03-23T21:16:44.000Z;EMERGENCIA: 18:16 10-9 (OTROS SERVICIOS), AVENIDA GRAN BRETAÑA / GASCO, H-9
2020-03-23T10:09:44.000Z;EMERGENCIA: 7:09 10-10 (REBROTE DE EMERGENCIA ANTERIOR), LOS CORMORANES / LAS FARDELAS, RB-6
2020-03-23T04:54:02.000Z;1:53, SALE B-3 EN APOYO A  LOS CORMORANES / LAS FARDELAS
2020-03-23T04:48:12.000Z;EMERGENCIA: 1:47 10-0 (LLAMADO ESTRUCTURAL), LOS CORMORANES / LAS FARDELAS, RB-6 B-7 H-11
2020-03-22T23:21:40.000Z;EMERGENCIA: 20:20 10-4 (RESCATE VEHICULAR), AUTOPISTA CONCEPCION - TALCAHUANO / INACAP, RB-5 B-9
2020-03-22T16:40:40.000Z;EMERGENCIA: 13:39 10-3 (RESCATE DE PERSONA), BILBAO / MATTA, RB-3
2020-03-21T19:43:18.000Z;16:42, SALE BR-01 EN APOYO A  AVENIDA CRISTOBAL COLON / CARRERA PINTO
2020-03-21T19:41:00.000Z;EMERGENCIA: 16:40 10-0 (LLAMADO ESTRUCTURAL), AVENIDA CRISTOBAL COLON / CARRERA PINTO, B-4 B-7 H-8
2020-03-21T18:21:26.000Z;EMERGENCIA: 15:20 10-3 (RESCATE DE PERSONA), JAIME REPULLO / AUTOPISTA CONCEPCION - TALCAHUANO, RB-5
2020-03-21T01:26:29.000Z;EMERGENCIA: 22:25 10-8 (LLAMADO NO CLASIFICADO), MANUEL RODRIGUEZ / PEREZ GACITUA, B-3
2020-03-20T22:29:13.000Z;EMERGENCIA: 19:28 10-5  (LLAMADO HAZMAT), CALLE 10 ALTURA DEL 1046, H-4 H-8
2020-03-20T04:58:42.000Z;1:58, SALE BR-01 EN APOYO A  MANUEL BAYON / MANUEL MONTT
2020-03-20T04:48:17.000Z;EMERGENCIA: 1:47 10-0 (LLAMADO ESTRUCTURAL), MANUEL BAYON / MANUEL MONTT, H-4 B-7 H-8
2020-03-19T23:49:31.000Z;EMERGENCIA: 20:48 10-5  (LLAMADO HAZMAT), BAHIA MANSA / PASAJE PUNTA TUCAPEL, H-8 H-11
2020-03-19T21:41:30.000Z;EMERGENCIA: 18:40 10-5  (LLAMADO HAZMAT), PASAJE 3 / CALLE 1, H-8 H-11
2020-03-19T20:01:20.000Z;EMERGENCIA: 17:00 10-4 (RESCATE VEHICULAR), LAS AMAPOLAS / AVENIDA CRISTOBAL COLON, H-4 RB-5
2020-03-19T14:43:07.000Z;EMERGENCIA: 11:42 10-8 (LLAMADO NO CLASIFICADO), MALAQUIAS CONCHA / BRASIL, H-11
2020-03-19T12:35:12.000Z;9:34, SALE H-4 EN APOYO A  AVENIDA LAS GOLONDRINAS / CHIMBARONGO
2020-03-19T12:32:20.000Z;EMERGENCIA: 9:31 10-4 (RESCATE VEHICULAR), AVENIDA LAS GOLONDRINAS / CHIMBARONGO, RB-5 B-9
2020-03-18T21:27:53.000Z;18:27, SALE F-7 EN APOYO A  LOS CORMORANES / LOS PINGUINOS
2020-03-18T20:51:55.000Z;EMERGENCIA: 17:51 10-2 (LLAMADO DE PASTIZALES), LOS CORMORANES / LOS PINGUINOS, F-6
2020-03-18T15:51:10.000Z;EMERGENCIA: 12:50 10-4 (RESCATE VEHICULAR), EJERCITO / AVENIDA COLON, RB-5 B-9
2020-03-18T14:04:08.000Z;EMERGENCIA: 11:03 10-5  (LLAMADO HAZMAT), CALLE 8 / PASAJE28, H-4 H-8
2020-03-18T02:42:51.000Z;EMERGENCIA: 23:42 10-0 (LLAMADO ESTRUCTURAL), CANAL IFARLE / CASINO MARINA DEL SOL, Q-2 B-4 B-9
2020-03-18T00:45:23.000Z;EMERGENCIA: 21:44 10-8 (LLAMADO NO CLASIFICADO), EJERCITO / AVENIDA COLON, H-9
2020-03-17T22:32:02.000Z;EMERGENCIA: 19:31 10-5  (LLAMADO HAZMAT), VINICIO / PORTALES, H-8 H-11
2020-03-17T20:08:40.000Z;EMERGENCIA: 17:08 10-2 (LLAMADO DE PASTIZALES), PLAYA PINGUERAL / PUNTA CORRALILLO, F-6 F-7
2020-03-17T19:12:59.000Z;EMERGENCIA: 16:12 10-5  (LLAMADO HAZMAT), GUACOLDA / LINCOYAN, H-8 H-11
2020-03-17T06:02:49.000Z;EMERGENCIA: 3:02 10-8 (LLAMADO NO CLASIFICADO), JAIME REPULLO ALTURA DEL 3545, B-4
2020-03-17T00:24:55.000Z;EMERGENCIA: 21:24 10-6 (ESCAPE DE GAS), UNO ORIENTE / EJERCITO, H-9
2020-03-16T23:40:25.000Z;EMERGENCIA: 20:39 10-2 (LLAMADO DE PASTIZALES), PARQUE TUMBES / , F-1 F-6
2020-03-16T21:28:31.000Z;EMERGENCIA: 18:27 10-4 (RESCATE VEHICULAR), AVENIDA LAS GOLONDRINAS / CHIMBARONGO, RB-5 B-9
2020-03-16T14:00:49.000Z;EMERGENCIA: 11:00 10-5  (LLAMADO HAZMAT), TERMINAL PESQUERO SAN VICENTE / , RB-3 H-4 H-8 H-9 H-11
2020-03-15T21:13:17.000Z;EMERGENCIA: 18:12 10-8 (LLAMADO NO CLASIFICADO), JAIME REPULLO / CARRIER NORTE, RH-2
2020-03-15T00:18:28.000Z;21:17, SALE B-4 EN APOYO A  AVENIDA CRISTOBAL COLON / EJERCITO
2020-03-15T00:15:40.000Z;EMERGENCIA: 21:15 10-4 (RESCATE VEHICULAR), AVENIDA CRISTOBAL COLON / EJERCITO, RB-5 B-9
2020-03-14T21:21:46.000Z;18:21, SALE RH-2 EN APOYO A  PARQUE TUMBES /
2020-03-14T18:25:59.000Z;15:25, SALE F-1 X-4 B-8 Z-9 H-11 EN APOYO A  PARQUE TUMBES /
2020-03-14T17:50:05.000Z;EMERGENCIA: 14:49 10-2 (LLAMADO DE PASTIZALES), PARQUE TUMBES / , F-6 F-7
2020-03-14T17:42:55.000Z;EMERGENCIA: 14:42 10-4 (RESCATE VEHICULAR), AUTOPISTA CONCEPCION - TALCAHUANO / CALLE DE SERVICIO RUTA 154, RB-3 B-9
2020-03-14T12:08:16.000Z;EMERGENCIA: 9:07 10-4 (RESCATE VEHICULAR), AUTOPISTA CONCEPCION - TALCAHUANO / CALLE DE SERVICIO RUTA 154, RB-5 B-9
