hora,n_test,pct_zeros,umbral,auc_roc,f1,prec,recall,hit_pct,mae,mae_nonzero,fallback
0,311,92.3,0.68,0.516,0.0,0.0,0.0,0.0,0.0995,1.1667,False
1,311,90.0,0.741,0.534,0.0,0.0,0.0,0.0,0.1189,1.129,False
2,311,93.6,0.802,0.349,0.0,0.0,0.0,0.0,0.0836,1.3,False
3,311,95.8,0.915,0.578,0.0,0.0,0.0,0.0,0.0643,1.5385,False
4,311,96.8,0.855,0.62,0.0,0.0,0.0,0.0,0.045,1.4,False
5,311,94.9,0.912,0.6,0.0,0.0,0.0,0.0,0.0579,1.125,False
6,311,93.2,0.882,0.458,0.0,0.0,0.0,0.0,0.0772,1.1429,False
7,311,91.0,0.787,0.433,0.0,0.0,0.0,0.0,0.1167,1.1786,False
8,311,82.6,0.634,0.504,0.088,0.214,0.056,5.6,0.249,1.1812,False
9,311,86.5,0.378,0.466,0.038,0.091,0.024,2.4,0.2084,1.2408,False
10,311,83.3,0.605,0.591,0.119,0.267,0.077,7.7,0.2361,1.1769,False
11,311,77.8,0.603,0.508,0.18,0.29,0.13,13.0,0.3268,1.0378,False
12,311,80.7,0.551,0.517,0.098,0.182,0.067,6.7,0.3063,1.1812,False
13,311,77.8,0.583,0.509,0.128,0.24,0.087,8.7,0.3752,1.3443,False
14,311,79.1,0.604,0.51,0.144,0.219,0.108,10.8,0.3578,1.2198,False
15,312,75.3,0.57,0.499,0.212,0.255,0.182,18.2,0.4386,1.1467,False
16,312,80.1,0.547,0.433,0.164,0.153,0.177,17.7,0.5294,1.3168,False
17,312,74.0,0.546,0.605,0.319,0.386,0.272,27.2,0.4168,1.0291,False
18,312,76.0,0.57,0.474,0.128,0.206,0.093,9.3,0.4487,1.3447,False
19,312,78.2,0.54,0.531,0.214,0.222,0.206,20.6,0.4954,1.2852,False
20,312,79.5,0.467,0.44,0.048,0.105,0.031,3.1,0.3564,1.3141,False
21,312,81.4,0.566,0.445,0.151,0.2,0.121,12.1,0.3457,1.2358,False
22,312,79.5,0.607,0.476,0.1,0.25,0.062,6.2,0.2809,1.135,False
23,313,88.2,0.601,0.414,0.083,0.086,0.081,8.1,0.2459,1.0228,False
