Fecha;Texto
2024-08-06T00:23:01.000Z;10-6-1 PASAJE CUATRO A / CALLE 2 H-4 https://t.co/luGXk3fNre
2024-08-06T02:06:11.000Z;10-0-1 AVENIDA LAS GOLONDRINAS / CHILOE Q-2, B-5, H-4 https://t.co/LbzgtyNM4V
2024-08-06T02:22:03.000Z;10-7 LA LIGUA / TARAPACA B-9 https://t.co/mYC8l8lKac
2024-08-06T03:52:15.000Z;10-6-1 ROMERAL / TARAPACA B-9, H-4 https://t.co/VlW7pExabR
2024-08-06T06:00:19.000Z;10-4-1 RUTA INTERPORTUARIA / PEAJE TRONCAL ALESSANDRI /  RX-5, B-9, RB-3 https://t.co/Xd8Qx7HZ4p
2024-08-06T16:59:47.000Z;10-7 YUNGAY / PEREZ ROSALES B-1 https://t.co/Q7jTzquIl9
2024-08-06T21:08:58.000Z;10-12 A 10-1 LIENTUR / MALLECO BM-2 https://t.co/lDXVqEbq2p
2024-08-06T22:40:59.000Z;10-9 PARQUE TUMBES /  RH-2 https://t.co/4REIY8gaDT
2024-08-06T23:02:17.000Z;10-8 RÍO MAULE / LOS CAPULIES B-5 https://t.co/zE8hfkfap7
2024-08-06T23:06:17.000Z;SALE RX-5 A 10-8 RÍO MAULE / LOS CAPULIES https://t.co/zE8hfkfap7
2024-08-06T23:54:04.000Z;10-9 PARQUE TUMBES /  F-7 https://t.co/4REIY8gaDT
